
// =========================================================================================================
// 2024-10-24, 14:45:56
//        Time [s]        Pos X [um]        Pos Y [um]        Pos Z [um]      Force A [uN]      Force B [uN]
// =========================================================================================================
           2.55000           0.06400           0.00300       -3796.83100          -0.90119          -0.01718
           2.56000           0.06300           0.00300       -3796.83100          -0.64619           0.06561
           2.57000           0.06400           0.00400       -3796.83100          -1.47496          -0.09997
           2.58000           0.06400           0.00400       -3796.83100          -0.07242           0.05287
           2.59000           0.06400           0.00300       -3796.83100          -1.85747          -0.06176
           2.60000           0.06300           0.00300       -3796.83100          -1.60246          -0.00445
           2.61000           0.06300           0.00300       -3796.83100          -0.77369           0.04650
           2.62000           0.06300           0.00300       -3796.83100          -1.21995           0.06561
           2.63000           0.06300           0.00300       -3796.83100          -1.85747          -0.10634
           2.64000           0.06300           0.00400       -3796.83100          -1.21995           0.04013
           2.65000           0.06300           0.00300       -3796.83200          -2.04872          -0.06176
           2.66000           0.06300           0.00300       -3796.83100          -0.51868           0.10382
           2.67000           0.06300           0.00300       -3796.83100          -2.11248          -0.06176
           2.68000           0.06300           0.00300       -3796.83200          -0.51868           0.06561
           2.69000           0.06300           0.00300       -3796.83100          -1.72997          -0.05539
           2.70000           0.06400           0.00200       -3796.83100          -0.45493           0.05287
           2.71000           0.06300           0.00200       -3796.83200          -2.11248           0.00829
           2.72000           0.06400           0.00300       -3796.83200          -0.90119           0.06561
           2.73000           0.06400           0.00300       -3796.83200          -1.60246           0.07198
           2.74000           0.06400           0.00300       -3796.83200          -1.34746          -0.08723
           2.75000           0.06400           0.00300       -3796.83200          -0.64619           0.10382
           2.76000           0.06300           0.00200       -3796.83200          -0.70994           0.07198
           2.77000           0.06400           0.00300       -3796.83200          -0.70994           0.05287
           2.78000           0.06400           0.00200       -3796.83200           0.11883          -0.01081
           2.79000           0.06300           0.00200       -3796.83200          -1.66621          -0.08723
           2.80000           0.06400           0.00300       -3796.83200          -1.21995           0.01466
           2.81000           0.06400           0.00300       -3796.83200          -1.41121           0.04013
           2.82000           0.06400           0.00200       -3796.83100          -1.02870          -0.01081
           2.83000           0.06400           0.00200       -3796.83100          -1.47496          -0.06813
           2.84000           0.06300           0.00200       -3796.83100          -1.79372          -0.05539
           2.85000           0.06400           0.00300       -3796.83100          -1.28370           0.07834
           2.86000           0.06400           0.00300       -3796.83100          -1.60246          -0.02355
           2.87000           0.06400           0.00300       -3796.83200          -0.45493           0.08471
           2.88000           0.06400           0.00300       -3796.83200          -1.66621          -0.04266
